seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
15.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.177685493,0.26054784,0.890196078,49.17108114,0.062727215,135.9991776,62390.36867
15.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.176706214,0.258909144,0.945098039,49.07260336,0.056695711,135.9991776,62783.419
15.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.176031322,0.260157054,1,48.96469114,0.059195298,135.9991776,63607.62733
15.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.180782137,0.256197193,0.9,49.6874327,0.068234425,135.9991776,125462.405
15.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.184525512,0.250001688,0.901960784,50.1289093,0.068046877,135.9991776,95807.58
16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.196996813,0.249238362,1,156.8302345,0.062389296,135.9991776,5310387.32
16.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.200021941,0.243789063,0.831372549,155.1767231,0.055478741,135.9991776,652710.5
16.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.201833932,0.241617477,0.907189542,154.3749019,0.049660135,135.9991776,531182.7
16.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.201769434,0.239395014,0.909803922,153.1098218,0.050584575,135.9991776,563787.36
16.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.19870154,0.245252701,0.896078431,151.9950711,0.053273379,121.1629037,586683.25
16.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.199886787,0.245618248,0.899346405,151.1207913,0.062387007,117.4538352,526206.2833
16.6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.205215482,0.242308546,0.878431373,150.6668329,0.055152975,117.4538352,580195.75
16.7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.215244197,0.255374228,0.959477124,152.0865917,0.047679668,117.4538352,555358.3167
16.8,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.228901253,0.267646123,0.907843137,156.0037248,0.046045576,117.4538352,421362.015
