seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_characters,spoken_words,written_words,letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
11.2,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.308894358,0.158030013,0.819607843,622.6796111,0.044158397,123.046875,680459.4533
11.3,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.310538371,0.161916165,0.864052288,626.4796578,0.034503588,121.928267,477737.8233
11.4,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.310199848,0.174453795,0.836601307,639.7863615,0.028754499,117.4538352,596165.8
11.5,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.310530621,0.181140531,0.836601307,650.6557383,0.033030783,117.4538352,404863.7193
11.6,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.339883466,0.178330825,0.898039216,799.9654017,0.067842099,117.4538352,1223025.714
11.7,6,1,4,0,0,0,15,0,1,1,3,1,0,0,0.35353637,0.180153029,0.977777778,872.7331686,0.071434048,117.4538352,648447.1
11.8,6,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.354069468,0.189776045,0.967320261,871.9864104,0.04510306,117.4538352,343024.4963
11.9,6,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.354932664,0.177612434,0.97254902,870.4752942,0.071290746,117.4538352,454174.53
12,6,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.353462984,0.170041963,0.954248366,862.1097022,0.047963827,117.4538352,484250.033
12.1,6,1,4.5,0,0,0,16.5,0,1,1,3,1,0,0,0.352052867,0.141308612,0.950326797,861.6443933,0.073865268,117.4538352,555609.7853
12.2,6,1,4.5,0,0,0,16.5,0,1,1,3,1,0,0,0.353981745,0.140754424,0.901960784,866.3008978,0.030783895,117.4538352,481901.4333
12.3,6,1,4.5,0,0,0,16.5,0,1,1,3,1,0,0,0.352364613,0.134213647,0.912418301,865.3407362,0.043869313,117.4538352,277594.2757
12.4,6,1,4.5,0,0,0,16.5,0,1,1,3,1,0,0,0.350764987,0.134669768,0.922875817,864.3250322,0.042024149,117.4538352,469340.04
12.5,6,1,4.5,0,0,0,16.5,0,1,1,3,1,0,0,0.350123336,0.136989144,0.937254902,863.5510116,0.077106377,117.4538352,440448.705
12.6,5.5,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.350169337,0.136743979,0.901960784,865.7978917,0.060366388,117.4538352,448580.7597
12.7,5.5,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.351168359,0.175886015,0.918954248,874.4490576,0.01962723,117.4538352,670676.5867
12.8,5.5,1,4.5,0,0,0,15,0,1,1,3,1,0,0,0.352847385,0.200312443,0.894117647,887.5353504,0.010645402,117.4538352,480605.9897
12.9,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,0,0,0.355100606,0.21178389,0.960784314,897.3321444,0.020979054,117.4538352,1010486.7
13,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,0,1,0.359154624,0.203573709,1,893.0726867,0.029185772,117.4538352,795855.5723
13.1,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.35151625,0.18614418,0.99869281,851.8091777,0.047004299,117.4538352,679078.5757
13.2,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.343425331,0.166180898,0.949019608,815.1819817,0.045060836,117.4538352,671846.3333
13.3,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.342249487,0.152387794,0.946405229,817.2612249,0.052860929,117.4538352,371675.2567
13.4,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.343901584,0.164847884,0.877124183,846.2463685,0.057027462,117.4538352,628478.2667
13.5,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.343969663,0.165935733,0.925490196,858.7228071,0.049153064,117.4538352,510993.8997
13.6,5.5,1,4.5,0,0,0,15,0,1,1,3,1,1,1,0.348904625,0.109219349,0.878431373,869.8299403,0.049064797,117.4538352,603860.745
13.7,5.5,1,4.5,0,0,0,15,0,1,1,3,1,1,1,0.349694202,0.125358055,0.958169935,875.6794044,0.055371319,117.4538352,691290.28
13.8,5.5,1,4.5,0,0,0,15,0,1,1,3,1,1,1,0.352550312,0.173199462,0.993464052,881.5366582,0.07004961,117.4538352,436835.0202
13.9,5.5,1,4.5,0,0,0,15,0,1,1,3,1,1,1,0.354360795,0.185893313,0.968627451,870.5888729,0.03836256,117.4538352,580177.42
14,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.352077368,0.188040504,0.956862745,858.6219136,0.02927727,117.4538352,385414.8313
14.1,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.349992903,0.202622697,0.912418301,839.5934481,0.054453812,117.4538352,409482.48
14.2,5.5,1,4.5,0,0,0,13.5,0,1,1,3,1,1,1,0.348299178,0.183949097,0.929411765,824.3665471,0.019348813,117.4538352,641639.88
14.3,5.5,1,4.5,0,0,0,15,0,1,1,3,1,1,1,0.350486587,0.191849115,0.898039216,822.274422,0.015519557,104.768821,402634.5593
14.4,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.350529333,0.208675424,0.879738562,807.6029922,0.008865831,103.359375,622771.88
14.5,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.348891532,0.213444171,0.922875817,801.5767419,0.012565745,103.359375,439188.8743
14.6,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.34611878,0.242062352,0.888888889,813.9635521,0.051398011,103.359375,442643.524
14.7,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.34326682,0.210097382,0.955555556,802.0925064,0.055209909,103.359375,456730.9933
14.8,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.33785158,0.207026546,0.977777778,779.3302327,0.018216145,103.359375,233900.2913
14.9,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.335510297,0.179440339,0.973856209,766.0756654,0.009072993,103.359375,309818.3967
15,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.334816975,0.17168628,0.958169935,762.7706038,0.015261147,103.359375,222720.8213
15.1,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.339917621,0.18768815,0.938562092,790.7643562,0.065318073,103.359375,321444.203
15.2,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.345047079,0.156571565,0.937254902,826.8484788,0.04830703,103.359375,837703.98
15.3,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.340169212,0.127843915,0.937254902,806.0916705,0.049677254,103.359375,633093.0007
15.4,5.5,1,4.5,0,0,0,12,0,1,1,3,1,1,1,0.332850847,0.161163565,0.969934641,757.9422579,0.081407966,103.359375,608815.4867
15.5,5.5,1,4.5,0,0,0,10.5,0,1,1,3,1,1,1,0.333425926,0.152815408,0.984313725,736.9532993,0.037764843,103.359375,349892.1487
15.6,5.5,1,4.5,0,0,0,10.5,0,1,1,4,1,1,1,0.336206074,0.145132047,0.945098039,767.9262736,0.020269821,103.359375,548207.477
15.7,8.5,1,4.5,0,0,0,16.5,0,1,1,4,1,1,1,0.327000999,0.128631865,0.928104575,731.5592745,0.013335337,103.359375,786935.12
15.8,8.5,1,4.5,0,0,0,15,0,1,1,4,1,1,1,0.320288935,0.111452062,1,713.751599,0.022091372,103.359375,642340.9533
15.9,8.5,1,4.5,0,0,0,15,0,1,1,4,1,1,1,0.319980458,0.104529283,1,752.4089002,0.049082276,103.359375,1045133.447
16,8.5,1,4.5,0,0,0,12,0,1,1,4,1,1,1,0.313584898,0.136234264,1,731.0265566,0.063162239,103.359375,449781.895
16.1,7.5,1,4.5,0,0,0,9.5,0,1,1,4,1,1,1,0.302985058,0.154191753,1,664.788018,0.048642661,103.359375,631366.2663
16.2,7.5,1,4.5,0,0,0,8,0,1,1,4,1,1,1,0.308773857,0.124656769,1,701.7993034,0.044185882,103.359375,757184.28
16.3,7.5,1,4.5,0,0,0,11,0,1,1,4,1,1,1,0.313513448,0.121077358,1,728.1837537,0.052004706,103.359375,258208.8553
16.4,7.5,1,4.5,0,0,0,12.5,0,1,1,4,1,1,1,0.319940306,0.131350347,1,744.1832469,0.045384121,103.359375,187543.71
16.5,4.5,1,4.5,0,0,0,8,0,1,1,3,1,1,1,0.319759307,0.131765417,1,740.0273138,0.056518638,103.359375,124950.57
16.6,4.5,1,4.5,0,0,0,7.5,0,1,1,3,1,1,1,0.321373336,0.112683589,1,742.5876254,0.055063775,103.359375,177528.446
16.7,4.5,1,4.5,0,0,0,7.5,0,1,1,3,1,1,1,0.322536427,0.110077997,1,756.7971541,0.074551164,104.6513672,247483.8367
16.8,4.5,1,4.5,0,0,0,7.5,0,1,1,3,1,1,1,0.325161208,0.111810117,1,756.8694183,0.033428236,107.6660156,262840.9373
16.9,4.5,1,4.5,0,0,0,7.5,0,1,1,3,1,1,1,0.329023959,0.140834246,1,750.2950032,0.021032118,107.6660156,467847.9933
17,4.5,1,4.5,0,0,0,6,0,1,1,3,1,1,1,0.332825863,0.142705483,1,761.1496361,0.0248581,107.6660156,296033.317
17.1,4.5,1,4.5,0,0,0,5,0,1,1,3,1,1,1,0.337910558,0.157814496,1,770.9944267,0.027671568,107.6660156,275938.2193
17.2,4.5,1,4.5,0,0,0,5,0,1,1,3,1,1,1,0.339777091,0.177090175,1,771.9218525,0.036863407,107.6660156,381548.6267
17.3,4.5,1,4.5,0,0,0,5,0,1,1,3,1,1,1,0.338080338,0.175446999,1,764.6756502,0.056316652,107.6660156,312192.2233
17.4,3.5,1,4.5,0.5,0,0,5,0,1,1,3,1,1,1,0.339694001,0.212340358,1,763.4348738,0.035264096,107.6660156,518541.0333
17.5,3.5,1,4,1.5,0,0,5,0,1,1,3,1,1,1,0.339048925,0.20749179,1,757.921309,0.053514405,107.6660156,364239.8103
17.6,3.5,1,4,1.5,0,0,3.5,0,1,1,3,1,1,1,0.334247955,0.176628352,1,746.4194708,0.080446768,107.6660156,346643.167
17.7,3.5,1,4,1.5,0,0,3.5,0,1,1,3,1,1,1,0.33106333,0.159357325,1,739.3839488,0.036024188,107.6660156,435820.3667
17.8,3.5,1,3,1,0,0,5,0,1,1,3,1,1,1,0.33070257,0.140761266,1,739.6468958,0.065761253,107.6660156,243274.8893
